simulation,cooling schedules,MC length,method,found_distances
0,geometric,100,insert,451.1352796
1,geometric,100,insert,471.9503722
2,geometric,100,insert,459.2440243
3,geometric,100,insert,450.4486382
4,geometric,100,insert,463.765303
5,geometric,100,insert,443.0328243
6,geometric,100,insert,449.7393671
7,geometric,100,insert,476.4885043
8,geometric,100,insert,463.9176987
9,geometric,100,insert,450.9938291
0,geometric,100,swap,491.7439323
1,geometric,100,swap,475.0935299
2,geometric,100,swap,486.3575992
3,geometric,100,swap,473.7169189
4,geometric,100,swap,515.1516821
5,geometric,100,swap,526.960016
6,geometric,100,swap,478.1326978
7,geometric,100,swap,483.6337579
8,geometric,100,swap,501.3990709
9,geometric,100,swap,506.6619686
0,geometric,100,inverse,459.0507015
1,geometric,100,inverse,464.2968096
2,geometric,100,inverse,461.3405496
3,geometric,100,inverse,445.7997252
4,geometric,100,inverse,440.712557
5,geometric,100,inverse,461.3264741
6,geometric,100,inverse,489.6255645
7,geometric,100,inverse,466.8026055
8,geometric,100,inverse,464.0825991
9,geometric,100,inverse,467.7783408
